date,series_id,value
2013-04-26,shop_31_item_20949,5.0
2013-04-28,shop_31_item_20949,1.0
2013-04-29,shop_31_item_20949,1.0
2013-04-30,shop_31_item_20949,6.0
2013-05-01,shop_31_item_20949,1.0
2013-05-03,shop_31_item_20949,1.0
2013-05-04,shop_31_item_20949,2.0
2013-05-05,shop_31_item_20949,5.0
2013-05-07,shop_31_item_20949,6.0
2013-05-08,shop_31_item_20949,6.0
2013-05-09,shop_31_item_20949,3.0
2013-05-10,shop_31_item_20949,5.0
2013-05-11,shop_31_item_20949,3.0
2013-05-12,shop_31_item_20949,3.0
2013-05-13,shop_31_item_20949,2.0
2013-05-14,shop_31_item_20949,4.0
2013-05-15,shop_31_item_20949,1.0
2013-05-16,shop_31_item_20949,2.0
2013-05-17,shop_31_item_20949,3.0
2013-05-18,shop_31_item_20949,16.0
2013-05-19,shop_31_item_20949,21.0
2013-05-20,shop_31_item_20949,13.0
2013-05-21,shop_31_item_20949,20.0
2013-05-22,shop_31_item_20949,25.0
2013-05-23,shop_31_item_20949,26.0
2013-05-24,shop_31_item_20949,42.0
2013-05-25,shop_31_item_20949,20.0
2013-05-26,shop_31_item_20949,27.0
2013-05-27,shop_31_item_20949,13.0
2013-05-28,shop_31_item_20949,22.0
2013-05-29,shop_31_item_20949,29.0
2013-05-30,shop_31_item_20949,30.0
2013-05-31,shop_31_item_20949,33.0
2013-06-01,shop_31_item_20949,29.0
2013-06-02,shop_31_item_20949,25.0
2013-06-03,shop_31_item_20949,21.0
2013-06-04,shop_31_item_20949,25.0
2013-06-05,shop_31_item_20949,28.0
2013-06-06,shop_31_item_20949,23.0
2013-06-07,shop_31_item_20949,34.0
2013-06-08,shop_31_item_20949,35.0
2013-06-09,shop_31_item_20949,20.0
2013-06-10,shop_31_item_20949,16.0
2013-06-11,shop_31_item_20949,27.0
2013-06-12,shop_31_item_20949,31.0
2013-06-13,shop_31_item_20949,17.0
2013-06-14,shop_31_item_20949,34.0
2013-06-15,shop_31_item_20949,20.0
2013-06-16,shop_31_item_20949,14.0
2013-06-17,shop_31_item_20949,22.0
2013-06-18,shop_31_item_20949,32.0
2013-06-19,shop_31_item_20949,23.0
2013-06-20,shop_31_item_20949,17.0
2013-06-21,shop_31_item_20949,34.0
